summary_day,app,event_classification,duration_seconds,summary_day_end
2022-01-05,Microsoft Edge,activitywatch,721.349,2022-01-06
2022-01-05,Microsoft Edge,application,7.926,2022-01-06
2022-01-05,Microsoft Edge,audio playing,52.027,2022-01-06
2022-01-05,Microsoft Edge,bell,1.103,2022-01-06
2022-01-05,Microsoft Edge,bing,10.109,2022-01-06
2022-01-05,Microsoft Edge,circadian rhythm,45.251999999999995,2022-01-06
2022-01-05,Microsoft Edge,company also recently hired,31.693,2022-01-06
2022-01-05,Microsoft Edge,data,40.677,2022-01-06
2022-01-05,Microsoft Edge,download,5.635,2022-01-06
2022-01-05,Microsoft Edge,erik,21.271,2022-01-06
2022-01-05,Microsoft Edge,github,9.064,2022-01-06
2022-01-05,Microsoft Edge,health information,242.068,2022-01-06
2022-01-05,Microsoft Edge,healthy heart,276.185,2022-01-06
2022-01-05,Microsoft Edge,issue,17.964000000000002,2022-01-06
2022-01-05,Microsoft Edge,latest,83.364,2022-01-06
2022-01-05,Microsoft Edge,macos catalina,16.869,2022-01-06
2022-01-05,Microsoft Edge,netflix,689.546,2022-01-06
2022-01-05,Microsoft Edge,notifications,12.481,2022-01-06
2022-01-05,Microsoft Edge,oura,41.856,2022-01-06
2022-01-05,Microsoft Edge,playing,2192.3650000000002,2022-01-06
2022-01-05,Microsoft Edge,profile,0.0,2022-01-06
2022-01-05,Microsoft Edge,pull request,14.715,2022-01-06
2022-01-05,Microsoft Edge,rise science,116.494,2022-01-06
2022-01-05,Microsoft Edge,road,91.607,2022-01-06
2022-01-05,Microsoft Edge,science,308.035,2022-01-06
2022-01-05,Microsoft Edge,silas,31.482,2022-01-06
2022-01-05,Microsoft Edge,starz movies,11.092,2022-01-06
2022-01-05,Microsoft Edge,tab,2.216,2022-01-06
2022-01-05,Microsoft Edge,untitled,0.0,2022-01-06
2022-01-05,Microsoft Edge,workspace,1.097,2022-01-06
2022-01-06,Microsoft Edge,activitywatch,198.635,2022-01-07
2022-01-06,Microsoft Edge,analytics,79.56,2022-01-07
2022-01-06,Microsoft Edge,app,5.569,2022-01-07
