summary_day,app,event_classification,duration_seconds,summary_day_end
2022-01-30,VSCode,db_schema.csv — question (workspace),105.361,2022-01-31
2022-01-31,VSCode,"""what movie genre made the most sales"" • untitled-1 — question (workspace)",723.711,2022-02-01
2022-01-31,VSCode,app.py — question (workspace),22.319,2022-02-01
2022-01-31,VSCode,db_relationships.csv — question (workspace),274.138,2022-02-01
2022-01-31,VSCode,db_schema.csv — question (workspace),418.61199999999997,2022-02-01
2022-01-31,VSCode,dbconnect.py — question (workspace),1344.8129999999999,2022-02-01
2022-01-31,VSCode,errornotes.txt — question (workspace),5.694,2022-02-01
2022-01-31,VSCode,meeting_autojoin_2,0.0,2022-02-01
2022-01-31,VSCode,question (workspace),3.3970000000000002,2022-02-01
2022-01-31,VSCode,random_outputs.txt — question (workspace),295.921,2022-02-01
2022-01-31,VSCode,readme.md — question (workspace),24.924,2022-02-01
2022-01-31,VSCode,restore.sql,103.85,2022-02-01
2022-01-31,VSCode,scratch.txt — question (workspace),3386.272,2022-02-01
2022-01-31,VSCode,untitled,1.096,2022-02-01
2022-02-02,VSCode,app.py — question (workspace),2022.9389999999999,2022-02-03
2022-02-02,VSCode,dbconnect.py — question (workspace),202.609,2022-02-03
2022-02-02,VSCode,errornotes.txt — question (workspace),9.151,2022-02-03
2022-02-02,VSCode,get started,33.984,2022-02-03
2022-02-02,VSCode,gpt.py — question (workspace),381.341,2022-02-03
2022-02-02,VSCode,question (workspace),4.551,2022-02-03
2022-02-02,VSCode,random_outputs.txt — question (workspace),57.915,2022-02-03
2022-02-02,VSCode,readme.md — question (workspace),6.84,2022-02-03
2022-02-02,VSCode,scratch.txt — question (workspace),20.391,2022-02-03
2022-02-02,VSCode,untitled,0.0,2022-02-03
2022-02-05,VSCode,app.py — question (workspace),1361.063,2022-02-06
2022-02-05,VSCode,db_relationships.csv — question (workspace),73.652,2022-02-06
2022-02-05,VSCode,dbconnect.py — question (workspace),1039.253,2022-02-06
2022-02-05,VSCode,get started,2.2270000000000003,2022-02-06
2022-02-05,VSCode,gpt.py — question (workspace),0.0,2022-02-06
2022-02-05,VSCode,release notes: 1.64.0 — question (workspace),45.381,2022-02-06
2022-02-06,VSCode,app.py — question (workspace),187.299,2022-02-07
2022-02-06,VSCode,db_relationships.csv — question (workspace),1.127,2022-02-07
2022-02-06,VSCode,db_schema.csv — question (workspace),37.685,2022-02-07
2022-02-06,VSCode,dbconnect.py — question (workspace),1875.923,2022-02-07
2022-02-06,VSCode,get started,12.286000000000001,2022-02-07
2022-02-07,VSCode,app.py — question (workspace),820.881,2022-02-08
2022-02-07,VSCode,db_relationships.csv — question (workspace),12.209,2022-02-08
2022-02-07,VSCode,db_schema.csv — question (workspace),431.43,2022-02-08
2022-02-07,VSCode,dbconnect.py — question (workspace),5323.901,2022-02-08
2022-02-07,VSCode,get started,0.0,2022-02-08
2022-02-07,VSCode,gpt.py — question (workspace),1.111,2022-02-08
2022-02-07,VSCode,hypeman 👾,0.0,2022-02-08
2022-02-07,VSCode,microsoft edge,0.0,2022-02-08
2022-02-08,VSCode,.env — question (workspace),66.146,2022-02-09
2022-02-08,VSCode,app.py — question (workspace),1851.064,2022-02-09
2022-02-08,VSCode,db_relationships.csv — question (workspace),11.172,2022-02-09
2022-02-08,VSCode,db_schema.csv — question (workspace),0.0,2022-02-09
2022-02-08,VSCode,dbconnect.py — question (workspace),1001.604,2022-02-09
2022-02-08,VSCode,get started,2.211,2022-02-09
2022-02-08,VSCode,gpt.py — question (workspace),17.945,2022-02-09
2022-02-08,VSCode,microsoft edge,0.0,2022-02-09
2022-02-08,VSCode,settings.py — question (workspace),20.179000000000002,2022-02-09
2022-02-08,VSCode,slack.py — question (workspace),62.748999999999995,2022-02-09
2022-02-10,VSCode,.env — question (workspace),70.182,2022-02-11
2022-02-10,VSCode,.env.example — question (workspace),11.115,2022-02-11
2022-02-10,VSCode,.gitignore — question (workspace),21.217,2022-02-11
2022-02-10,VSCode,__init__.py — question (workspace),37.952,2022-02-11
2022-02-10,VSCode,app.py — question (workspace),956.6859999999999,2022-02-11
2022-02-10,VSCode,db_relationships.csv (deleted) — question (workspace),1.119,2022-02-11
2022-02-10,VSCode,db_schema.csv — question (workspace),6.672,2022-02-11
2022-02-10,VSCode,dbconnect.cpython-38.pyc — question (workspace),29.043,2022-02-11
2022-02-10,VSCode,dbconnect.py — question (workspace),209.969,2022-02-11
2022-02-10,VSCode,demo.png — question (workspace),133.272,2022-02-11
2022-02-10,VSCode,globals.py — question (workspace),2.251,2022-02-11
2022-02-10,VSCode,gpt.py — question (workspace),1.118,2022-02-11
2022-02-10,VSCode,helpers.py — question (workspace),63.567,2022-02-11
2022-02-10,VSCode,preview readme.md — question (workspace),6.757,2022-02-11
2022-02-10,VSCode,procfile — question (workspace),54.582,2022-02-11
2022-02-10,VSCode,qb_v0.ipynb — question (workspace),1.117,2022-02-11
2022-02-10,VSCode,question.py — question (workspace),413.673,2022-02-11
2022-02-10,VSCode,readme.md — question (workspace),78.044,2022-02-11
2022-02-10,VSCode,requirements.txt — question (workspace),143.70000000000002,2022-02-11
2022-02-10,VSCode,screen shot 2022-02-10 at 8.13.51 am.png — question (workspace),4.476,2022-02-11
2022-02-10,VSCode,settings.py — question (workspace),147.00400000000002,2022-02-11
2022-02-10,VSCode,slack.py — question (workspace),1325.814,2022-02-11
2022-02-12,VSCode,db_schema.csv — question (workspace),118.909,2022-02-13
2022-02-12,VSCode,demo.png — question (workspace),4.448,2022-02-13
2022-02-12,VSCode,question (workspace),51.357,2022-02-13
2022-02-13,VSCode,app.py — question (workspace),23.349,2022-02-14
2022-02-13,VSCode,db_relationships.csv — question (workspace),850.131,2022-02-14
2022-02-13,VSCode,db_schema.csv — question (workspace),589.8190000000001,2022-02-14
2022-02-13,VSCode,dbconnect.py — question (workspace),12.176,2022-02-14
2022-02-13,VSCode,gpt.py — question (workspace),8.875,2022-02-14
2022-02-13,VSCode,ore,0.0,2022-02-14
2022-02-13,VSCode,querybuilder.py — question (workspace),321.70099999999996,2022-02-14
2022-02-13,VSCode,question (workspace),2.215,2022-02-14
2022-02-13,VSCode,question business,0.0,2022-02-14
2022-02-13,VSCode,question.py — question (workspace),45.519,2022-02-14
2022-02-13,VSCode,slack.py — question (workspace),101.458,2022-02-14
2022-02-14,VSCode,querybuilder.py — question (workspace),118.572,2022-02-15
2022-02-15,VSCode,app.py — question (workspace),423.78499999999997,2022-02-16
2022-02-15,VSCode,db_schema.csv — question (workspace),353.051,2022-02-16
2022-02-15,VSCode,dbconnect.py — question (workspace),102.645,2022-02-16
2022-02-15,VSCode,helpers.py — question (workspace),25.845,2022-02-16
2022-02-15,VSCode,querybuilder.py — question (workspace),19.021,2022-02-16
2022-02-15,VSCode,question.py — question (workspace),469.34499999999997,2022-02-16
2022-02-15,VSCode,slack.py — question (workspace),25.687,2022-02-16
2022-02-16,VSCode,.env — question (workspace),28.247,2022-02-17
2022-02-16,VSCode,.gitignore — question (workspace),11.324,2022-02-17
2022-02-16,VSCode,app.py — question (workspace),1171.972,2022-02-17
2022-02-16,VSCode,db_relationships.csv — question (workspace),173.09400000000002,2022-02-17
2022-02-16,VSCode,db_schema.csv — question (workspace),8.958,2022-02-17
2022-02-16,VSCode,dbconnect.py — question (workspace),1137.974,2022-02-17
2022-02-16,VSCode,extension: todo highlight — question (workspace),16.584,2022-02-17
2022-02-16,VSCode,extension: todo tree — question (workspace),16.666,2022-02-17
2022-02-16,VSCode,gpt.py — question (workspace),68.507,2022-02-17
2022-02-16,VSCode,helpers.py — question (workspace),2093.229,2022-02-17
2022-02-16,VSCode,microsoft edge,0.0,2022-02-17
2022-02-16,VSCode,procfile (deleted) — question (workspace),52.251999999999995,2022-02-17
2022-02-16,VSCode,procfile — question (workspace),34.99,2022-02-17
2022-02-16,VSCode,querybuilder.py — question (workspace),11866.055,2022-02-17
2022-02-16,VSCode,question.py — question (workspace),414.111,2022-02-17
2022-02-16,VSCode,requirements.txt — question (workspace),150.083,2022-02-17
2022-02-16,VSCode,slack.py — question (workspace),257.461,2022-02-17
2022-02-17,VSCode,app.py — question (workspace),3.393,2022-02-18
2022-02-17,VSCode,db_schema.csv — question (workspace),46.04,2022-02-18
2022-02-17,VSCode,dbconnect.py — question (workspace),14.554,2022-02-18
2022-02-17,VSCode,gpt.py — question (workspace),130.358,2022-02-18
2022-02-17,VSCode,helpers.py — question (workspace),13.472999999999999,2022-02-18
2022-02-17,VSCode,querybuilder.py — question (workspace),283.548,2022-02-18
2022-02-17,VSCode,question.py — question (workspace),49.45399999999999,2022-02-18
2022-02-18,VSCode,.env — question (workspace),15.67,2022-02-19
2022-02-18,VSCode,.env.example — question (workspace),3.29,2022-02-19
2022-02-18,VSCode,app.py — question (workspace),113.08500000000001,2022-02-19
2022-02-18,VSCode,builtins.pyi — question (workspace),6.718,2022-02-19
2022-02-18,VSCode,db_schema.csv — question (workspace),118.061,2022-02-19
2022-02-18,VSCode,helpers.py — question (workspace),208.555,2022-02-19
2022-02-18,VSCode,meeting_autojoin,0.0,2022-02-19
2022-02-18,VSCode,microsoft edge,0.0,2022-02-19
2022-02-18,VSCode,nw.js,0.0,2022-02-19
2022-02-18,VSCode,querybuilder.py — question (workspace),7821.362,2022-02-19
2022-02-18,VSCode,question.py — question (workspace),22.276,2022-02-19
2022-02-18,VSCode,readme.md — question (workspace),103.97099999999999,2022-02-19
2022-02-18,VSCode,requirements.txt — question (workspace),5.527,2022-02-19
2022-02-18,VSCode,settings.py — question (workspace),56.111,2022-02-19
2022-02-18,VSCode,slack | qb | question,0.0,2022-02-19
2022-02-18,VSCode,slack.py — question (workspace),6.985,2022-02-19
2022-02-18,VSCode,tandem | a virtual office for remote teams,0.0,2022-02-19
2022-02-18,VSCode,untitled,0.0,2022-02-19
2022-02-19,VSCode,db_schema.csv — question (workspace),35.204,2022-02-20
2022-02-19,VSCode,querybuilder.py — question (workspace),2368.965,2022-02-20
2022-02-20,VSCode,.env.example — question (workspace),11.186,2022-02-21
2022-02-20,VSCode,app.py — question (workspace),289.317,2022-02-21
2022-02-20,VSCode,db_schema.csv — question (workspace),38.945,2022-02-21
2022-02-20,VSCode,dbconnect.py — question (workspace),4.412,2022-02-21
2022-02-20,VSCode,gpt.py — question (workspace),3.347,2022-02-21
2022-02-20,VSCode,helpers.py — question (workspace),91.50999999999999,2022-02-21
2022-02-20,VSCode,querybuilder.py — question (workspace),9338.27,2022-02-21
2022-02-20,VSCode,question.py — question (workspace),390.585,2022-02-21
2022-02-20,VSCode,readme.md — question (workspace),70.96,2022-02-21
2022-02-20,VSCode,slack | * qb | question,0.0,2022-02-21
2022-02-20,VSCode,slack | qb | question,0.0,2022-02-21
2022-02-20,VSCode,slack.py — question (workspace),107.92699999999999,2022-02-21
2022-02-23,VSCode,helpers.py — question (workspace),10.194,2022-02-24
2022-02-23,VSCode,querybuilder.py — question (workspace),26.963,2022-02-24
2022-02-26,VSCode,db_relationships.csv — question (workspace),1.1400000000000001,2022-02-27
2022-02-26,VSCode,db_schema.csv — question (workspace),88.986,2022-02-27
2022-02-26,VSCode,helpers.py — question (workspace),2.352,2022-02-27
2022-02-26,VSCode,querybuilder.py — question (workspace),14.036000000000001,2022-02-27
2022-02-27,VSCode,db_relationships.csv — question (workspace),0.0,2022-02-28
2022-02-27,VSCode,db_schema.csv — question (workspace),170.065,2022-02-28
2022-02-27,VSCode,dbconnect.py — question (workspace),66.112,2022-02-28
2022-02-27,VSCode,gpt.py — question (workspace),710.405,2022-02-28
2022-02-27,VSCode,helpers.py — question (workspace),0.0,2022-02-28
2022-02-27,VSCode,querybuilder.py — question (workspace),2.265,2022-02-28
2022-02-27,VSCode,question.py — question (workspace),519.811,2022-02-28
2022-02-28,VSCode,app.py — question (workspace),74.445,2022-03-01
2022-02-28,VSCode,dbconnect.py — question (workspace),12.637,2022-03-01
2022-02-28,VSCode,gpt.py — question (workspace),1348.6680000000001,2022-03-01
2022-02-28,VSCode,lounge 🛋,0.0,2022-03-01
2022-02-28,VSCode,querybuilder.py — question (workspace),86.05,2022-03-01
2022-02-28,VSCode,question.py — question (workspace),742.831,2022-03-01
2022-03-01,VSCode,app.py — question (workspace),66.199,2022-03-02
2022-03-01,VSCode,db_relationships.csv — question (workspace),69.725,2022-03-02
2022-03-01,VSCode,db_schema.csv — question (workspace),54.729,2022-03-02
2022-03-01,VSCode,db_schema_metadata.csv — question (workspace),176.736,2022-03-02
2022-03-01,VSCode,dbconnect.py — question (workspace),359.701,2022-03-02
2022-03-01,VSCode,gpt.py — question (workspace),325.48,2022-03-02
2022-03-01,VSCode,querybuilder.py — question (workspace),0.0,2022-03-02
2022-03-01,VSCode,question business,0.0,2022-03-02
2022-03-01,VSCode,question.py — question (workspace),657.115,2022-03-02
2022-03-01,VSCode,restore.sql,41.078,2022-03-02
2022-03-02,VSCode,gpt.py — question (workspace),5.724,2022-03-03
2022-03-06,VSCode,"""public"",""staff_list"",""phone"",""character • untitled-1 — question (workspace)",30.689,2022-03-07
2022-03-06,VSCode,db_relationships.csv — question (workspace),166.009,2022-03-07
2022-03-06,VSCode,db_schema.csv — question (workspace),548.185,2022-03-07
2022-03-06,VSCode,db_schema_metadata.csv — question (workspace),251.723,2022-03-07
2022-03-06,VSCode,dbconnect.py — question (workspace),9.076,2022-03-07
2022-03-06,VSCode,gpt.py — question (workspace),208.89499999999998,2022-03-07
