summary_day,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2021-01-01,0.802,0.442,1.0,-8.908,1.0,0.423,0.59,2.35e-05,0.107,0.486,103.04700000000001
2021-01-02,0.37739473684210534,0.16313157894736843,4.894736842105263,-19.83226315789474,0.6578947368421053,0.09437894736842108,0.7689184210526318,0.19105199157894737,0.1307447368421053,0.15100263157894742,105.03844736842105
2021-01-03,0.679,0.5738749999999999,5.875,-7.405875000000001,0.625,0.0654125,0.42625,0.03207960625,0.13515,0.47542499999999993,109.305625
2021-01-04,0.604,0.5687142857142857,4.142857142857143,-8.329714285714285,0.5714285714285714,0.10502857142857143,0.35571428571428576,0.10003592285714284,0.14437142857142857,0.2948857142857143,110.24357142857141
2021-01-05,0.76135,0.70865,5.9,-5.945,0.45,0.15011000000000002,0.330305,0.0020272595,0.14436,0.5746,114.48169999999998
2021-01-06,0.7863749999999999,0.7443750000000002,6.9375,-5.686874999999999,0.5625,0.07785,0.2532125,0.084467686875,0.1080875,0.6248250000000001,112.66693749999997
2021-01-09,0.7510588235294117,0.5903529411764705,4.588235294117647,-7.848588235294117,0.6470588235294118,0.17130000000000004,0.33710764705882357,0.06967669235294117,0.1824294117647059,0.5897058823529413,111.89482352941177
2021-01-10,0.6249696969696971,0.5989393939393939,6.090909090909091,-7.922545454545453,0.5151515151515151,0.0990848484848485,0.40971242424242427,0.04903436242424242,0.16967575757575762,0.4011939393939394,118.67609090909093
2021-01-11,0.6301818181818182,0.6073333333333333,6.0606060606060606,-8.422787878787878,0.5151515151515151,0.07690000000000001,0.4026369696969698,0.06214641909090909,0.12855151515151517,0.46386969696969693,113.17290909090909
2021-01-12,0.6725714285714286,0.6295714285714286,4.142857142857143,-8.197714285714286,0.7142857142857143,0.07158571428571428,0.34028571428571436,0.0031353699999999993,0.13192857142857142,0.4816,106.92657142857145
2021-01-13,0.6557647058823529,0.5812529411764705,6.294117647058823,-8.612117647058824,0.5294117647058824,0.08850000000000001,0.40641594117647056,0.22116890529411765,0.1165176470588235,0.45931764705882344,102.86211764705882
2021-01-14,0.6046818181818182,0.5649090909090909,5.681818181818182,-8.785954545454546,0.5,0.10424545454545454,0.40330499999999997,0.08457535999999999,0.22734090909090907,0.3437045454545454,128.96259090909095
2021-01-15,0.7827333333333333,0.6271333333333333,6.533333333333333,-6.617933333333332,0.5333333333333333,0.16436666666666663,0.2947133333333334,0.04943659866666667,0.18305333333333335,0.6151999999999999,120.33386666666668
2021-01-17,0.7444999999999999,0.6405000000000001,2.0,-5.0665,1.0,0.07145,0.31220000000000003,6.2e-06,0.44600000000000006,0.7515000000000001,146.9445
2021-01-18,0.7751428571428571,0.7102857142857142,5.142857142857143,-5.686571428571429,0.2857142857142857,0.17379999999999998,0.3729714285714286,0.00028105428571428576,0.11439999999999999,0.6542857142857142,97.43357142857141
