summary_day,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2021-01-01,0.802,0.442,1.0,-8.908,1.0,0.423,0.59,2.35e-05,0.107,0.486,103.047
2021-01-02,0.38429561351816105,0.15055046985080503,4.075457984024929,-19.512723888120064,0.6578437318531394,0.08505231805959161,0.783973667681441,0.2553819711471938,0.12263838125042598,0.158396871795995,111.06743991233627
2021-01-03,0.6982077978178708,0.6080985064319644,5.954831052576831,-6.931955847424325,0.5908746142554987,0.047172583895817195,0.4365395554258504,0.03460870397355845,0.13381981903237367,0.5299803536135737,113.48927102668716
2021-01-04,0.6265121725439119,0.5580158562599625,4.510346317217769,-7.996014017853011,0.4437714626297502,0.10988712116352323,0.33939479708096054,0.10698379936203056,0.14727675186621855,0.2775501106373442,112.48272415207134
2021-01-05,0.7393674261134605,0.6984187564808785,6.473554725023174,-6.295132125181858,0.5908343142749297,0.1524997788562194,0.34563257076025083,0.0018034808262550324,0.14052850184632024,0.5641542494324141,115.93542541415918
2021-01-06,0.7985217188823442,0.7519916256990847,7.586632489014673,-5.643335539615902,0.5761414892698407,0.08620098907563488,0.2495522021914705,0.06349129373503717,0.11496938157142815,0.5982063510667095,113.87131912735735
2021-01-09,0.7460403784622958,0.5838594647128243,4.141569637188638,-7.839354626807271,0.6728405813564563,0.16460614996497475,0.32880122572054243,0.06748267134702156,0.19285138961989692,0.6049037944047913,111.96490728399503
2021-01-10,0.600515795609657,0.5964034825684875,5.783382082653955,-7.894298960083641,0.4680918063801451,0.08869404544681346,0.4152221071924955,0.033032253067045866,0.15852380047629125,0.3530185175227878,120.60328819602623
2021-01-11,0.6284464868108554,0.6351992431085522,5.81925145201594,-8.292865621165948,0.5165886137750162,0.08114218217101707,0.35080959895446406,0.04946114542380012,0.1328100399445082,0.4510050109675041,112.88845600089206
2021-01-12,0.7150741342940807,0.6499677021475148,3.1229729360892438,-7.702771867985615,0.4980270366167967,0.07784551105340387,0.35345405646730377,0.0023678153057638345,0.2112552033984879,0.4743846614444224,104.78425665745172
2021-01-13,0.6700653957570322,0.5810282354242357,6.40720027947986,-8.420779679838843,0.4709264218660341,0.07052076582705714,0.3911402353458768,0.19076786717123773,0.12041504114247191,0.46299907120288164,105.85145040293587
2021-01-14,0.6252899414288448,0.5624559692193135,5.147638538340206,-8.354157815144408,0.527401364507078,0.07558768650397031,0.3626002988291641,0.03690360908969832,0.22397635876975913,0.3415073526472118,122.6027726922413
2021-01-15,0.8241818497434437,0.631759256547271,6.467013610232104,-6.465119791990071,0.5164468198857555,0.18847642580176024,0.29647075079071816,0.05496024483709781,0.14436836049639018,0.6491788356614558,116.43868794995952
2021-01-17,0.7308198762281087,0.6479205837434245,2.0,-5.1692271286929845,1.0,0.07275743618336525,0.2855666667821041,6.825954002846684e-06,0.4560960323039788,0.7442813369026552,150.665746066762
2021-01-18,0.7784946428656989,0.7072920813799797,5.155180639433683,-5.716331966413611,0.3005662757563748,0.17147667700925906,0.37955916695243985,0.00031135069947000205,0.11417285435699673,0.6486893847766075,97.28758254942507
2021-01-19,0.745307171332041,0.6162597858795059,8.066278322940992,-7.561679837429673,0.5895112196468743,0.06936723706271634,0.36020313772916135,0.11513701250481705,0.10977169847883586,0.6239121610822812,111.04713773110566
2021-01-20,0.6786556042641814,0.6659334121780577,5.628696872452363,-6.825581195943625,0.3670518856708042,0.1365398579153368,0.3516209387109008,0.040702964687613384,0.13480992646872442,0.547822416332494,123.72385250411666
2021-01-21,0.505,0.71,3.0,-3.015,1.0,0.0321,0.19,0.00025,0.329,0.428,89.93799999999997
2021-01-22,0.431,0.484,4.0,-7.27,1.0,0.0583,0.506,0.0,0.117,0.517,150.739
2021-01-24,0.6783415560398022,0.6299397099398848,6.550732513366471,-6.238265326947783,0.8072255740039064,0.08711382560255278,0.3488968597148366,0.00023228329859586547,0.14834873165328663,0.5394266199224121,105.76049442032244
2021-01-25,0.6509934077969878,0.5113319483058778,5.015657495072642,-8.938634755252798,0.6014915385379472,0.11260780579676809,0.37793081456929406,0.3043229945089555,0.247227801274578,0.37125888382938,107.60616407420572
2021-01-26,0.6379409051574033,0.5132792139200197,5.065578590223844,-9.757123474187482,0.636021098679015,0.12977641693067749,0.40270012761984436,0.1305019633241992,0.15574295520890527,0.4667812047277863,114.3265324555291
2021-01-28,0.6692539638950374,0.6610827976531876,6.328759216735375,-7.375589451768599,0.48482098672127516,0.13231770873666793,0.17375365055709358,0.06872927141532145,0.16289923737403023,0.44031701578621524,115.66948852993976
2021-01-29,0.6840196679863744,0.5659698026556238,6.396050475521946,-7.583428681201206,0.6302879501214845,0.11180407388323671,0.43174007215761395,0.0018159331992055386,0.17917821749281562,0.5549754493238058,114.23606255910073
2021-01-30,0.4987493031241176,0.2927209766108415,3.278134757633873,-17.706418176059113,0.602634644158745,0.1505729795219261,0.7127583005756915,0.38854141925947233,0.16641812948522713,0.3382620214049318,124.34405146169249
2021-01-31,0.7137408875417736,0.384219911401259,1.662578689671252,-11.938405642340872,0.004165695189243802,0.14574231755653996,0.7661275200124349,0.1049796249319966,0.10855734359213491,0.24870847905494675,157.13814452475322
2021-02-01,0.7012436128909194,0.6199999399494074,5.085661728830069,-7.3141524092871775,0.644166239468517,0.1354021009759546,0.3547551185403114,0.009853489969100439,0.1818332142035547,0.5635107790372211,108.13554802788995
2021-02-02,0.6753981492108233,0.507691062689514,5.438079103225464,-9.025853340232374,0.6288334481608989,0.16663048685949017,0.3455941939368933,0.19920381553186217,0.15702176019920494,0.34642406916621116,121.67871835775927
2021-02-03,0.5488633226903286,0.4574895970909743,5.0304993115193755,-13.864684565508906,0.660105138854597,0.07262729103582619,0.5353594068734417,0.2952336314442671,0.142126270811983,0.454761529975618,120.1775398579661
2021-02-04,0.6993698304616498,0.5651591376333746,5.569473489068347,-7.4625279018709705,0.45956486957600995,0.14928813767070354,0.39397055232938627,0.05149290578256048,0.15966044711036337,0.4708204942331383,110.34279706650568
2021-02-05,0.6739372186991135,0.5950283129447834,5.477901779283062,-7.745582855933608,0.5068837559573545,0.13638488864205606,0.4100382483644287,0.03788442585489936,0.1570314388358408,0.5081766097549102,122.16445471079325
